video_id,unitLabel,moduleLabel
"i4x-Medicine-HRP258-videoalpha-6adf0626e63d48aeb88f3e92c9e597cb","Unit 1: Descriptive Statistics and Looking at Data","Module 1: Introduction to datasets"
"i4x-Medicine-HRP258-videoalpha-6adf0626e63d48aeb88f3e92c9e597cb","Unit 1: Descriptive Statistics and Looking at Data","Module 1: Introduction to datasets"
"i4x-Medicine-HRP258-videoalpha-a506c11807ce45fc8a7d5bc1c9a873c4","Unit 1: Descriptive Statistics and Looking at Data","Module 4: Measures of central tendency (mean  median) (12:12 /8:16)"
"i4x-Medicine-HRP258-videoalpha-a506c11807ce45fc8a7d5bc1c9a873c4","Unit 1: Descriptive Statistics and Looking at Data","Module 4: Measures of central tendency (mean  median) (12:12 /8:16)"
"i4x-Medicine-HRP258-videoalpha-0ac35ab340d94eaf842b4f851ac572a2","Unit 2: Review of Study Designs; Measures of Disease Risk and Association","Module 4: Relative risks (rate ratios  risk ratios  hazard ratios  odds ratios) (11:17 / 5:29 / 8:45)"
"i4x-Medicine-HRP258-videoalpha-0ac35ab340d94eaf842b4f851ac572a2","Unit 2: Review of Study Designs; Measures of Disease Risk and Association","Module 4: Relative risks (rate ratios  risk ratios  hazard ratios  odds ratios) (11:17 / 5:29 / 8:45)"
"i4x-Medicine-HRP258-videoalpha-90fb47a6289b4e15bdf54a5cc1b316e0","Unit 4: Probability Distributions","Module 4: The Binomial Distribution (11:02 / 17:13 / 7:23 / 5:04)"
"i4x-Medicine-HRP258-videoalpha-90fb47a6289b4e15bdf54a5cc1b316e0","Unit 4: Probability Distributions","Module 4: The Binomial Distribution (11:02 / 17:13 / 7:23 / 5:04)"
"i4x-Medicine-HRP258-videoalpha-73747433856b4f0983d76766ed855461","Unit 4: Probability Distributions","Module 4: The Binomial Distribution (11:02 / 17:13 / 7:23 / 5:04)"
"i4x-Medicine-HRP258-videoalpha-73747433856b4f0983d76766ed855461","Unit 4: Probability Distributions","Module 4: The Binomial Distribution (11:02 / 17:13 / 7:23 / 5:04)"
"i4x-Medicine-HRP258-videoalpha-88dd05060ef44620a6e2b6fc9f311848","Unit 4: Probability Distributions","Module 4: The Binomial Distribution (11:02 / 17:13 / 7:23 / 5:04)"
"i4x-Medicine-HRP258-videoalpha-88dd05060ef44620a6e2b6fc9f311848","Unit 4: Probability Distributions","Module 4: The Binomial Distribution (11:02 / 17:13 / 7:23 / 5:04)"
"i4x-Medicine-HRP258-videoalpha-b84b2ece642c441f8a0579f75f19807e","Unit 5: Statistical Inference","Overview/Weekly Teaser"
